time,open,high,low,close,tick_volume
2023-09-07 03:00:00,147.612,147.627,147.521,147.56,974
2023-09-07 04:00:00,147.56,147.593,147.491,147.561,1193
2023-09-07 05:00:00,147.561,147.677,147.538,147.574,1402
2023-09-07 06:00:00,147.576,147.587,147.426,147.547,2204
2023-09-07 07:00:00,147.548,147.576,147.408,147.431,2429
2023-09-07 08:00:00,147.433,147.494,147.357,147.452,2058
2023-09-07 09:00:00,147.452,147.492,147.39,147.437,1698
2023-09-07 10:00:00,147.439,147.492,147.397,147.43,1237
2023-09-07 11:00:00,147.432,147.432,147.275,147.278,1650
2023-09-07 12:00:00,147.278,147.608,147.215,147.278,4191
2023-09-07 13:00:00,147.278,147.417,147.101,147.396,5302
2023-09-07 14:00:00,147.396,147.432,147.042,147.106,4038
2023-09-07 15:00:00,147.106,147.281,147.072,147.129,2391
2023-09-07 16:00:00,147.128,147.137,147.04,147.084,1502
2023-09-07 17:00:00,147.086,147.256,147.086,147.235,920
2023-09-07 18:00:00,147.235,147.265,147.125,147.173,1084
2023-09-07 19:00:00,147.175,147.244,147.158,147.224,984
2023-09-07 20:00:00,147.196,147.276,147.148,147.237,535
2023-09-07 21:00:00,147.251,147.287,147.204,147.26,223
2023-09-07 22:00:00,147.247,147.25,147.185,147.25,428
2023-09-07 23:00:00,147.279,147.379,147.267,147.332,719
2023-09-08 00:00:00,147.331,147.364,146.577,146.915,5972
2023-09-08 01:00:00,146.914,147.244,146.907,147.107,4210
2023-09-08 02:00:00,147.107,147.211,147.025,147.211,1899
2023-09-08 03:00:00,147.213,147.334,147.147,147.232,1504
2023-09-08 04:00:00,147.233,147.287,147.144,147.225,1647
2023-09-08 05:00:00,147.225,147.254,147.131,147.136,1190
2023-09-08 06:00:00,147.138,147.242,147.05,147.234,2194
2023-09-08 07:00:00,147.233,147.439,147.21,147.393,2833
2023-09-08 08:00:00,147.393,147.452,147.363,147.405,1998
2023-09-08 09:00:00,147.405,147.406,147.265,147.266,1890
2023-09-08 10:00:00,147.265,147.392,147.24,147.386,1451
2023-09-08 11:00:00,147.387,147.487,147.361,147.45,1601
2023-09-08 12:00:00,147.448,147.565,147.287,147.546,2855
2023-09-08 13:00:00,147.548,147.693,147.429,147.461,4398
2023-09-08 14:00:00,147.459,147.676,147.32,147.635,4039
2023-09-08 15:00:00,147.634,147.738,147.589,147.697,2498
2023-09-08 16:00:00,147.697,147.773,147.659,147.761,1236
2023-09-08 17:00:00,147.761,147.772,147.699,147.731,847
2023-09-08 18:00:00,147.731,147.83,147.709,147.82,1053
2023-09-08 19:00:00,147.82,147.864,147.808,147.842,1336
2023-09-08 20:00:00,147.816,147.834,147.723,147.777,802
2023-09-10 21:00:00,146.986,146.991,146.619,146.725,613
2023-09-10 22:00:00,146.731,147.239,146.731,147.086,2056
2023-09-10 23:00:00,147.115,147.257,147.019,147.124,2283
2023-09-11 00:00:00,147.125,147.142,146.812,146.952,4271
2023-09-11 01:00:00,146.954,147.09,146.773,146.909,3856
2023-09-11 02:00:00,146.91,146.91,146.54,146.631,3031
2023-09-11 03:00:00,146.631,146.679,146.365,146.46,3023
2023-09-11 04:00:00,146.461,146.71,146.146,146.197,5260
2023-09-11 05:00:00,146.196,146.242,145.982,146.208,3805
2023-09-11 06:00:00,146.207,146.284,145.905,146.067,4056
2023-09-11 07:00:00,146.065,146.178,145.898,146.171,5205
2023-09-11 08:00:00,146.171,146.486,146.129,146.338,3056
2023-09-11 09:00:00,146.338,146.678,146.266,146.67,3182
2023-09-11 10:00:00,146.668,146.925,146.651,146.897,2938
2023-09-11 11:00:00,146.895,146.979,146.692,146.77,2400
2023-09-11 12:00:00,146.768,146.795,146.288,146.489,4589
2023-09-11 13:00:00,146.491,146.586,146.339,146.434,4977
2023-09-11 14:00:00,146.433,146.433,146.194,146.4,4726
2023-09-11 15:00:00,146.4,146.542,146.382,146.465,2370
2023-09-11 16:00:00,146.464,146.52,146.329,146.469,1583
2023-09-11 17:00:00,146.471,146.537,146.426,146.444,1530
2023-09-11 18:00:00,146.444,146.58,146.443,146.534,1419
2023-09-11 19:00:00,146.532,146.594,146.476,146.531,1650
2023-09-11 20:00:00,146.495,146.577,146.484,146.523,576
2023-09-11 21:00:00,146.569,146.569,146.498,146.544,275
2023-09-11 22:00:00,146.522,146.555,146.405,146.477,870
2023-09-11 23:00:00,146.511,146.68,146.511,146.668,822
2023-09-12 00:00:00,146.668,146.798,146.57,146.684,2847
2023-09-12 01:00:00,146.686,146.701,146.434,146.559,3099
2023-09-12 02:00:00,146.561,146.718,146.517,146.691,2070
2023-09-12 03:00:00,146.69,146.739,146.589,146.676,1358
2023-09-12 04:00:00,146.674,146.733,146.616,146.728,1635
2023-09-12 05:00:00,146.728,146.855,146.726,146.815,1862
2023-09-12 06:00:00,146.813,146.939,146.783,146.882,1982
2023-09-12 07:00:00,146.884,146.91,146.757,146.805,3074
2023-09-12 08:00:00,146.805,146.832,146.656,146.786,2495
2023-09-12 09:00:00,146.786,146.864,146.754,146.786,1802
2023-09-12 10:00:00,146.786,146.976,146.768,146.901,1640
2023-09-12 11:00:00,146.901,146.995,146.859,146.892,1806
2023-09-12 12:00:00,146.892,147.156,146.892,147.116,3556
2023-09-12 13:00:00,147.118,147.223,147.061,147.205,3895
2023-09-12 14:00:00,147.203,147.229,147.085,147.205,3272
2023-09-12 15:00:00,147.204,147.225,147.104,147.12,1904
2023-09-12 16:00:00,147.12,147.192,147.053,147.172,1373
2023-09-12 17:00:00,147.173,147.22,147.149,147.202,1050
2023-09-12 18:00:00,147.202,147.221,147.079,147.093,986
2023-09-12 19:00:00,147.093,147.161,147.086,147.127,991
2023-09-12 20:00:00,147.093,147.135,146.926,147.025,1078
2023-09-12 21:00:00,147.059,147.112,147.01,147.095,352
2023-09-12 22:00:00,147.083,147.083,146.974,147.031,544
2023-09-12 23:00:00,147.059,147.162,147.047,147.156,781
2023-09-13 00:00:00,147.154,147.308,147.093,147.3,2844
2023-09-13 01:00:00,147.3,147.439,147.265,147.314,2746
2023-09-13 02:00:00,147.313,147.444,147.27,147.366,1647
2023-09-13 03:00:00,147.366,147.422,147.291,147.35,1461
2023-09-13 04:00:00,147.35,147.405,147.33,147.389,1134
2023-09-13 05:00:00,147.389,147.395,147.294,147.308,1289
2023-09-13 06:00:00,147.31,147.343,147.213,147.272,2412
2023-09-13 07:00:00,147.274,147.378,147.216,147.26,2491
2023-09-13 08:00:00,147.262,147.367,147.204,147.248,2756
2023-09-13 09:00:00,147.246,147.379,147.246,147.377,2072
2023-09-13 10:00:00,147.377,147.432,147.333,147.378,1542
2023-09-13 11:00:00,147.378,147.411,147.321,147.392,1658
2023-09-13 12:00:00,147.392,147.721,147.177,147.429,9527
2023-09-13 13:00:00,147.429,147.583,147.247,147.411,6832
2023-09-13 14:00:00,147.412,147.597,147.412,147.496,3629
2023-09-13 15:00:00,147.498,147.543,147.392,147.456,2240
2023-09-13 16:00:00,147.456,147.456,147.255,147.342,2276
2023-09-13 17:00:00,147.342,147.353,147.163,147.321,2211
2023-09-13 18:00:00,147.322,147.444,147.302,147.443,1273
2023-09-13 19:00:00,147.441,147.503,147.432,147.448,1063
2023-09-13 20:00:00,147.421,147.457,147.379,147.397,671
2023-09-13 21:00:00,147.397,147.42,147.292,147.348,847
2023-09-13 22:00:00,147.332,147.345,147.274,147.29,618
2023-09-13 23:00:00,147.321,147.351,147.266,147.326,753
2023-09-14 00:00:00,147.327,147.385,147.048,147.081,2294
2023-09-14 01:00:00,147.081,147.188,147.023,147.111,2365
2023-09-14 02:00:00,147.112,147.187,147.087,147.088,1344
2023-09-14 03:00:00,147.086,147.088,147.017,147.083,1156
2023-09-14 04:00:00,147.081,147.142,147.037,147.135,990
2023-09-14 05:00:00,147.133,147.139,147.07,147.111,1433
2023-09-14 06:00:00,147.111,147.157,147.081,147.103,1469
2023-09-14 07:00:00,147.102,147.289,147.093,147.275,1885
2023-09-14 08:00:00,147.276,147.353,147.243,147.286,1803
2023-09-14 09:00:00,147.286,147.387,147.249,147.374,1330
2023-09-14 10:00:00,147.373,147.387,147.276,147.319,1499
2023-09-14 11:00:00,147.319,147.353,147.278,147.334,1642
2023-09-14 12:00:00,147.333,147.56,147.202,147.403,8304
2023-09-14 13:00:00,147.405,147.412,147.049,147.299,7519
2023-09-14 14:00:00,147.299,147.44,147.034,147.12,4109
2023-09-14 15:00:00,147.122,147.203,147.012,147.169,2520
2023-09-14 16:00:00,147.169,147.238,147.046,147.228,1928
2023-09-14 17:00:00,147.228,147.485,147.172,147.42,1431
2023-09-14 18:00:00,147.42,147.48,147.378,147.437,1096
2023-09-14 19:00:00,147.437,147.473,147.416,147.445,1539
2023-09-14 20:00:00,147.416,147.455,147.373,147.4,618
2023-09-14 21:00:00,147.442,147.458,147.383,147.411,226
2023-09-14 22:00:00,147.396,147.461,147.379,147.419,830
2023-09-14 23:00:00,147.448,147.502,147.437,147.458,1005
2023-09-15 00:00:00,147.456,147.515,147.335,147.451,2704
2023-09-15 01:00:00,147.453,147.476,147.35,147.369,1817
2023-09-15 02:00:00,147.369,147.494,147.342,147.482,1589
2023-09-15 03:00:00,147.481,147.494,147.432,147.463,1206
2023-09-15 04:00:00,147.464,147.464,147.371,147.404,946
2023-09-15 05:00:00,147.404,147.687,147.365,147.396,3126
2023-09-15 06:00:00,147.396,147.629,147.386,147.611,2645
2023-09-15 07:00:00,147.613,147.797,147.609,147.751,3079
2023-09-15 08:00:00,147.75,147.814,147.698,147.774,2229
2023-09-15 09:00:00,147.776,147.814,147.716,147.812,1645
2023-09-15 10:00:00,147.81,147.945,147.802,147.942,1495
2023-09-15 11:00:00,147.942,147.942,147.788,147.788,1735
2023-09-15 12:00:00,147.788,147.941,147.74,147.937,3092
2023-09-15 13:00:00,147.937,147.941,147.756,147.855,3948
2023-09-15 14:00:00,147.853,147.862,147.6,147.859,4643
2023-09-15 15:00:00,147.859,147.892,147.781,147.83,2467
2023-09-15 16:00:00,147.83,147.887,147.804,147.86,1334
2023-09-15 17:00:00,147.858,147.861,147.716,147.791,1094
2023-09-15 18:00:00,147.791,147.849,147.761,147.847,1042
2023-09-15 19:00:00,147.847,147.857,147.814,147.852,935
2023-09-15 20:00:00,147.802,147.865,147.781,147.833,635
2023-09-17 21:00:00,147.678,147.751,147.655,147.75,227
2023-09-17 22:00:00,147.727,147.798,147.71,147.786,619
2023-09-17 23:00:00,147.817,147.875,147.815,147.863,686
2023-09-18 00:00:00,147.865,147.871,147.706,147.71,1344
2023-09-18 01:00:00,147.71,147.797,147.702,147.755,1480
2023-09-18 02:00:00,147.755,147.756,147.713,147.737,972
2023-09-18 03:00:00,147.736,147.743,147.723,147.731,560
2023-09-18 04:00:00,147.731,147.736,147.673,147.673,546
2023-09-18 05:00:00,147.671,147.683,147.634,147.65,872
2023-09-18 06:00:00,147.648,147.668,147.553,147.668,1597
2023-09-18 07:00:00,147.669,147.715,147.582,147.714,1986
2023-09-18 08:00:00,147.714,147.751,147.627,147.628,1335
2023-09-18 09:00:00,147.628,147.662,147.595,147.6,1297
2023-09-18 10:00:00,147.602,147.652,147.581,147.652,1212
2023-09-18 11:00:00,147.652,147.659,147.574,147.611,1265
2023-09-18 12:00:00,147.612,147.745,147.597,147.728,2143
2023-09-18 13:00:00,147.727,147.767,147.591,147.752,2930
2023-09-18 14:00:00,147.751,147.765,147.621,147.669,2403
2023-09-18 15:00:00,147.667,147.719,147.597,147.624,1585
2023-09-18 16:00:00,147.624,147.704,147.603,147.622,1258
2023-09-18 17:00:00,147.623,147.673,147.585,147.667,968
2023-09-18 18:00:00,147.666,147.752,147.66,147.745,822
2023-09-18 19:00:00,147.745,147.754,147.597,147.603,1008
2023-09-18 20:00:00,147.568,147.605,147.542,147.551,522
2023-09-18 21:00:00,147.576,147.598,147.543,147.573,208
2023-09-18 22:00:00,147.568,147.592,147.482,147.589,571
2023-09-18 23:00:00,147.618,147.643,147.575,147.611,782
2023-09-19 00:00:00,147.611,147.726,147.503,147.638,2125
2023-09-19 01:00:00,147.638,147.773,147.63,147.701,1592
2023-09-19 02:00:00,147.701,147.756,147.68,147.734,1181
2023-09-19 03:00:00,147.734,147.774,147.731,147.759,947
2023-09-19 04:00:00,147.761,147.784,147.731,147.746,941
2023-09-19 05:00:00,147.746,147.801,147.738,147.783,913
2023-09-19 06:00:00,147.784,147.888,147.784,147.835,1618
2023-09-19 07:00:00,147.836,147.854,147.635,147.643,2222
2023-09-19 08:00:00,147.642,147.717,147.61,147.707,1650
2023-09-19 09:00:00,147.707,147.717,147.668,147.677,1300
2023-09-19 10:00:00,147.677,147.735,147.563,147.662,1478
2023-09-19 11:00:00,147.662,147.706,147.627,147.684,1584
2023-09-19 12:00:00,147.684,147.803,147.645,147.774,2656
2023-09-19 13:00:00,147.776,147.832,147.645,147.706,3002
2023-09-19 14:00:00,147.706,147.767,147.621,147.693,2333
2023-09-19 15:00:00,147.692,147.823,147.689,147.8,1595
2023-09-19 16:00:00,147.8,147.852,147.8,147.823,958
2023-09-19 17:00:00,147.825,147.852,147.787,147.852,901
2023-09-19 18:00:00,147.852,147.917,147.825,147.843,859
2023-09-19 19:00:00,147.843,147.876,147.828,147.842,789
2023-09-19 20:00:00,147.814,147.857,147.761,147.761,599
2023-09-19 21:00:00,147.813,147.841,147.693,147.747,476
2023-09-19 22:00:00,147.737,147.755,147.678,147.73,650
2023-09-19 23:00:00,147.765,147.77,147.687,147.757,853
2023-09-20 00:00:00,147.757,147.814,147.709,147.738,1848
2023-09-20 01:00:00,147.736,147.84,147.701,147.763,1475
2023-09-20 02:00:00,147.763,147.842,147.749,147.831,920
2023-09-20 03:00:00,147.831,147.839,147.774,147.814,793
2023-09-20 04:00:00,147.813,147.837,147.797,147.829,712
2023-09-20 05:00:00,147.829,147.939,147.815,147.896,1026
2023-09-20 06:00:00,147.895,147.958,147.838,147.935,2244
2023-09-20 07:00:00,147.935,148.161,147.904,148.138,3224
2023-09-20 08:00:00,148.138,148.143,148.033,148.085,1972
2023-09-20 09:00:00,148.086,148.088,147.959,147.973,1500
2023-09-20 10:00:00,147.974,147.992,147.816,147.867,1885
2023-09-20 11:00:00,147.866,147.924,147.855,147.875,1265
2023-09-20 12:00:00,147.877,147.927,147.797,147.857,2225
2023-09-20 13:00:00,147.859,147.866,147.686,147.706,2608
2023-09-20 14:00:00,147.708,147.759,147.625,147.69,2453
2023-09-20 15:00:00,147.691,147.736,147.619,147.731,1613
2023-09-20 16:00:00,147.733,147.742,147.489,147.535,1336
2023-09-20 17:00:00,147.535,147.661,147.469,147.594,1278
2023-09-20 18:00:00,147.58,148.109,147.564,148.009,11383
2023-09-20 19:00:00,148.011,148.201,147.97,148.173,3701
2023-09-20 20:00:00,148.137,148.336,148.126,148.29,1200
2023-09-20 21:00:00,148.325,148.325,148.137,148.165,601
2023-09-20 22:00:00,148.157,148.259,148.128,148.223,1192
2023-09-20 23:00:00,148.254,148.331,148.242,148.318,1446
2023-09-21 00:00:00,148.316,148.457,148.313,148.402,2440
2023-09-21 01:00:00,148.402,148.448,148.28,148.321,2110
2023-09-21 02:00:00,148.32,148.339,148.186,148.27,1808
2023-09-21 03:00:00,148.27,148.313,148.247,148.281,962
2023-09-21 04:00:00,148.281,148.402,148.281,148.339,1175
2023-09-21 05:00:00,148.338,148.391,148.32,148.342,1100
2023-09-21 06:00:00,148.34,148.356,148.233,148.268,1596
2023-09-21 07:00:00,148.268,148.374,148.229,148.252,2867
2023-09-21 08:00:00,148.251,148.263,148.151,148.184,2116
2023-09-21 09:00:00,148.183,148.253,148.109,148.131,1762
2023-09-21 10:00:00,148.131,148.137,147.73,147.731,2365
2023-09-21 11:00:00,147.733,147.968,147.694,147.958,3430
2023-09-21 12:00:00,147.957,148.054,147.916,147.95,4264
2023-09-21 13:00:00,147.951,147.977,147.77,147.869,4571
2023-09-21 14:00:00,147.867,147.891,147.364,147.407,4913
2023-09-21 15:00:00,147.409,147.501,147.316,147.417,3538
2023-09-21 16:00:00,147.415,147.575,147.388,147.507,1680
2023-09-21 17:00:00,147.507,147.56,147.42,147.537,1525
2023-09-21 18:00:00,147.537,147.558,147.429,147.515,1114
2023-09-21 19:00:00,147.517,147.569,147.44,147.565,985
2023-09-21 20:00:00,147.5,147.579,147.449,147.51,998
2023-09-21 21:00:00,147.549,147.564,147.478,147.553,196
2023-09-21 22:00:00,147.537,147.552,147.481,147.526,627
2023-09-21 23:00:00,147.555,147.655,147.513,147.643,1353
2023-09-22 00:00:00,147.645,147.697,147.504,147.611,2597
2023-09-22 01:00:00,147.61,147.788,147.6,147.763,2239
2023-09-22 02:00:00,147.763,148.174,147.649,148.039,5856
2023-09-22 03:00:00,148.037,148.177,147.956,148.107,3321
2023-09-22 04:00:00,148.109,148.251,147.899,148.018,2167
2023-09-22 05:00:00,148.018,148.083,147.92,148.078,1523
2023-09-22 06:00:00,148.076,148.411,148.046,148.323,4590
2023-09-22 07:00:00,148.322,148.41,148.212,148.264,4523
2023-09-22 08:00:00,148.266,148.37,148.25,148.284,2071
2023-09-22 09:00:00,148.285,148.316,148.144,148.308,1802
2023-09-22 10:00:00,148.31,148.334,148.13,148.254,1911
2023-09-22 11:00:00,148.253,148.284,148.211,148.252,1573
2023-09-22 12:00:00,148.252,148.289,148.165,148.247,2305
2023-09-22 13:00:00,148.248,148.35,148.152,148.191,3093
2023-09-22 14:00:00,148.191,148.222,147.956,148.074,3217
2023-09-22 15:00:00,148.076,148.244,148.058,148.233,2137
2023-09-22 16:00:00,148.233,148.3,148.229,148.287,1335
2023-09-22 17:00:00,148.289,148.328,148.248,148.318,1044
2023-09-22 18:00:00,148.318,148.387,148.298,148.383,705
2023-09-22 19:00:00,148.383,148.401,148.34,148.385,827
2023-09-22 20:00:00,148.354,148.389,148.314,148.349,466
2023-09-24 21:00:00,148.267,148.308,148.2,148.287,291
2023-09-24 22:00:00,148.289,148.36,148.199,148.35,1129
2023-09-24 23:00:00,148.38,148.442,148.324,148.43,1060
2023-09-25 00:00:00,148.43,148.477,148.319,148.329,1907
2023-09-25 01:00:00,148.329,148.434,148.283,148.406,1139
2023-09-25 02:00:00,148.406,148.431,148.331,148.36,1010
2023-09-25 03:00:00,148.36,148.368,148.317,148.364,880
2023-09-25 04:00:00,148.364,148.404,148.324,148.349,744
2023-09-25 05:00:00,148.349,148.372,148.32,148.362,1025
2023-09-25 06:00:00,148.363,148.432,148.334,148.431,1507
2023-09-25 07:00:00,148.432,148.451,148.369,148.434,1650
2023-09-25 08:00:00,148.436,148.571,148.43,148.558,1940
2023-09-25 09:00:00,148.559,148.62,148.513,148.591,1299
2023-09-25 10:00:00,148.591,148.653,148.562,148.604,1154
2023-09-25 11:00:00,148.604,148.704,148.596,148.67,1297
2023-09-25 12:00:00,148.669,148.75,148.644,148.731,1964
2023-09-25 13:00:00,148.732,148.794,148.732,148.792,2358
2023-09-25 14:00:00,148.79,148.958,148.774,148.926,2538
2023-09-25 15:00:00,148.926,148.927,148.733,148.739,2143
2023-09-25 16:00:00,148.738,148.852,148.72,148.844,1083
2023-09-25 17:00:00,148.844,148.853,148.749,148.811,773
2023-09-25 18:00:00,148.811,148.862,148.762,148.831,703
2023-09-25 19:00:00,148.832,148.834,148.784,148.82,838
2023-09-25 20:00:00,148.79,148.873,148.77,148.824,587
2023-09-25 21:00:00,148.864,148.866,148.777,148.82,242
2023-09-25 22:00:00,148.809,148.819,148.733,148.769,781
2023-09-25 23:00:00,148.798,148.828,148.776,148.819,625
2023-09-26 00:00:00,148.819,148.903,148.701,148.877,1951
2023-09-26 01:00:00,148.877,148.95,148.811,148.921,1753
2023-09-26 02:00:00,148.921,148.937,148.865,148.901,1019
2023-09-26 03:00:00,148.901,148.918,148.812,148.866,1136
2023-09-26 04:00:00,148.867,148.919,148.857,148.877,608
2023-09-26 05:00:00,148.877,148.965,148.832,148.956,1171
2023-09-26 06:00:00,148.956,149.181,148.909,149.159,2283
2023-09-26 07:00:00,149.157,149.162,148.797,148.873,3421
