trade_id,pair,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,position_size,profit_currency,profit_pips,profit_percentage,exit_reason,signal_confidence
hist_1855860420,BTCUSDm,SELL,2025-04-27T16:17:18+0000,2025-04-27T16:34:25+0000,93791.7,93783.44,0.0,0.0,0.01,0.09,82.6,0.0,Historical,0.5
hist_1855982596,BTCUSDm,BUY,2025-04-27T17:30:54+0000,2025-04-27T19:58:29+0000,94072.4,94373.04,0.0,0.0,0.01,3.01,3006.4,0.0,Historical,0.5
hist_1881172618,GBPUSDm,SELL,2025-04-30T20:36:22+0000,2025-05-01T03:41:54+0000,1.33275,1.32938,0.0,0.0,0.01,3.37,33.7,0.0,TP (Historical),0.5
hist_1888233160,XAUUSDm,SELL,2025-05-01T16:08:44+0000,2025-05-01T16:09:05+0000,3211.789,3211.261,0.0,0.0,0.01,0.53,52.8,0.0,Historical,0.5
manual_1905258148_1905258148,XAUUSDm,BUY,,2025-05-05T11:55:42+0000,3313.317,3311.847,3250.525,3382.3693,0.01,-1.47,-147.0,0.0,Manual Close,0.6315
manual_1994615662_1994615662,BTCUSDm,BUY,,2025-05-18T20:01:32+0000,104231.99,103347.94,103347.94328,105072.37239,0.01,-8.84,-8840.5,0.0,SL,0.6045
manual_2000714124_2000714124,XAUUSDm,BUY,,2025-05-19T13:14:19+0000,3231.307,3235.327,3177.472,3291.3193,0.01,4.02,402.0,0.0,Manual Close,0.6112
manual_2035965710_2035965710,USDJPYm,SELL,,2025-05-23T14:19:52+0000,142.881,142.55700000000002,143.368,142.2886,0.01,2.27,3.2,0.0,Manual Close,0.3872
manual_2037966440_2037966440,GBPUSDm,BUY,,2025-05-23T20:17:21+0000,1.35336,1.3533700000000002,1.34878,1.35817,0.01,0.01,0.1,0.0,Manual Close,0.6135
manual_2061158114_2061158114,GBPUSDm,SELL,,2025-05-28T13:20:38+0000,1.34708,1.3464600000000002,1.34861,1.34565,0.01,0.62,6.2,0.0,Manual Close,0.3963
manual_2061239692_2061239692,GBPUSDm,SELL,,2025-05-28T13:20:38+0000,1.3475,1.3464600000000002,1.34874,1.3457,0.01,1.04,10.4,0.0,Manual Close,0.38
manual_2061921604_2061921604,EURUSDm,SELL,,2025-05-28T14:03:39+0000,1.13057,1.13156,1.13156,1.12875,0.01,-0.99,-9.9,0.0,SL,0.3862
manual_2064629880_2064629880,USDJPYm,BUY,,2025-05-28T19:19:31+0000,144.837,144.839,144.169,145.5151,0.01,0.01,0.0,0.0,Manual Close,0.6317
manual_2064633412_2064633412,BTCUSDm,SELL,,2025-05-28T20:01:28+0000,107629.5,106795.46,108431.34857,106732.34658,0.01,8.35,8340.4,0.0,Manual Close,0.3959
manual_2081336957_2081336957,BTCUSDm,SELL,,2025-05-30T22:57:29+0000,104067.03,104064.3,105133.26365,102923.40499,0.01,0.03,27.3,0.0,Manual Close,0.3213
manual_2112621289_2112621289,GBPUSDm,BUY,,2025-06-05T12:50:20+0000,1.35781,1.35724,1.35724,1.35999,0.01,-0.53,-5.7,0.0,SL,0.6091
manual_2181567115_2181567115,BTCUSDm,BUY,,2025-06-16T20:28:53+0000,108658.46,108696.43,107975.14545,109553.38901,0.01,0.41,379.7,0.0,Manual Close,0.6278
manual_2197688026_2197688026,EURUSDm,BUY,,2025-06-18T18:44:53+0000,1.15027,1.14971,1.14971,1.15322,0.01,-0.56,-5.6,0.0,SL,0.6092
manual_2198856776_2198856776,GBPUSDm,SELL,,2025-06-18T21:24:12+0000,1.34182,1.34253,1.34515,1.33815,0.01,-0.71,-7.1,0.0,Manual Close,0.3563
